relative_path,experiment,table,columns,row_count,duplicate_rows,duplicate_timestamps_per_resource,timestamp_order_inversions,timestamp_start_utc,timestamp_end_utc,sampling_interval_ms,resource_ids,missing_by_column,numeric_ranges
Exp20190416/dump_20190416_1116.sql,Exp20190416,tblOperationLog,"[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6"",""OperationNo"",""WorkPlanNo"",""OrderNo"",""StepNo"",""CarrierID"",""iResourceID"",""OrderPosition"",""PartNumber""]",11916,0,0,3,2019-04-16T08:18:17.168000Z,2019-04-16T09:16:24.042000Z,"{""median_ms"":495,""p10_ms"":4,""p90_ms"":2510}","[""mes10_3:plcManual"",""mes20_3:plcMagazineFront"",""mes30_3:plcDrillingCPS"",""mes60_3:plcCameraInspection"",""mes70_3:plcMagazineBack"",""mes80_3:plcPress""]","{""ResourceID"":0,""timeStamp"":0,""Busy"":0,""RFIDTagPresent"":0,""Done"":0,""StationEntryxBG5"":0,""ReadyAtStationxBG1"":0,""DoneWorkingxBG9"":11916,""StationExitxBG6"":0,""OperationNo"":0,""WorkPlanNo"":11916,""OrderNo"":0,""StepNo"":11916,""CarrierID"":0,""iResourceID"":0,""OrderPosition"":0,""PartNumber"":0}",{}
Exp20190416/dump_20190416_1116.sql,Exp20190416,tblPowerLog,"[""ResourceID"",""timeStamp"",""ActivePowerL1"",""Flow"",""Pressure""]",64767,0,0,0,2019-04-16T08:16:40.121000Z,2019-04-16T09:16:24.418000Z,"{""median_ms"":53.5,""p10_ms"":6,""p90_ms"":972}","[""ene1_2:CECC-LK"",""ene2_2:CECC-LK"",""ene3_2:CECC-LK"",""ene5_2:CECC-LK"",""ene6_2:CECC-LK"",""ene7_2:CECC-LK"",""ene8_2:CECC-LK""]","{""ResourceID"":0,""timeStamp"":0,""ActivePowerL1"":0,""Flow"":0,""Pressure"":0}","{""ActivePowerL1"":{""min"":11.04268074,""max"":89.73324585},""Flow"":{""min"":0.0,""max"":6.679119110107422},""Pressure"":{""min"":5.679785251617432,""max"":5.942456245422363}}"
Exp20190416/dump_20190416_1116.sql,Exp20190416,tblSensorsLog,"[""ResourceID"",""timeStamp"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6""]",0,0,0,0,,,,[],"{""ResourceID"":0,""timeStamp"":0,""StationEntryxBG5"":0,""ReadyAtStationxBG1"":0,""DoneWorkingxBG9"":0,""StationExitxBG6"":0}",{}
Exp20190416/dump_20190416_1116_new.sql,Exp20190416,tblMachineReport,"[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done""]",0,0,0,0,,,,[],"{""ResourceID"":0,""timeStamp"":0,""Busy"":0,""RFIDTagPresent"":0,""Done"":0}",{}
Exp20190416/dump_20190416_1116_new.sql,Exp20190416,tblOperationLog,"[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6"",""OperationNo"",""WorkPlanNo"",""OrderNo"",""StepNo"",""CarrierID"",""iResourceID"",""OrderPosition"",""PartNumber""]",11916,0,0,3,2019-04-16T08:18:17.168000Z,2019-04-16T09:16:24.042000Z,"{""median_ms"":495,""p10_ms"":4,""p90_ms"":2510}","[""mes10_3:plcManual"",""mes20_3:plcMagazineFront"",""mes30_3:plcDrillingCPS"",""mes60_3:plcCameraInspection"",""mes70_3:plcMagazineBack"",""mes80_3:plcPress""]","{""ResourceID"":0,""timeStamp"":0,""Busy"":0,""RFIDTagPresent"":0,""Done"":0,""StationEntryxBG5"":0,""ReadyAtStationxBG1"":0,""DoneWorkingxBG9"":11916,""StationExitxBG6"":0,""OperationNo"":0,""WorkPlanNo"":11916,""OrderNo"":0,""StepNo"":11916,""CarrierID"":0,""iResourceID"":0,""OrderPosition"":0,""PartNumber"":0}",{}
Exp20190416/dump_20190416_1116_new.sql,Exp20190416,tblPowerLog,"[""ResourceID"",""timeStamp"",""ActivePowerL1"",""Flow"",""Pressure""]",64767,0,0,0,2019-04-16T08:16:40.121000Z,2019-04-16T09:16:24.418000Z,"{""median_ms"":53.5,""p10_ms"":6,""p90_ms"":972}","[""ene1_2:CECC-LK"",""ene2_2:CECC-LK"",""ene3_2:CECC-LK"",""ene5_2:CECC-LK"",""ene6_2:CECC-LK"",""ene7_2:CECC-LK"",""ene8_2:CECC-LK""]","{""ResourceID"":0,""timeStamp"":0,""ActivePowerL1"":0,""Flow"":0,""Pressure"":0}","{""ActivePowerL1"":{""min"":11.04268074,""max"":89.73324585},""Flow"":{""min"":0.0,""max"":6.679119110107422},""Pressure"":{""min"":5.679785251617432,""max"":5.942456245422363}}"
Exp20190416/dump_20190416_1116_new.sql,Exp20190416,tblSensorsLog,"[""ResourceID"",""timeStamp"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6""]",0,0,0,0,,,,[],"{""ResourceID"":0,""timeStamp"":0,""StationEntryxBG5"":0,""ReadyAtStationxBG1"":0,""DoneWorkingxBG9"":0,""StationExitxBG6"":0}",{}
Exp20190416/dump_20190416_1515.sql,Exp20190416,tblMachineReport,"[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done""]",0,0,0,0,,,,[],"{""ResourceID"":0,""timeStamp"":0,""Busy"":0,""RFIDTagPresent"":0,""Done"":0}",{}
Exp20190416/dump_20190416_1515.sql,Exp20190416,tblOperationLog,"[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6"",""OperationNo"",""WorkPlanNo"",""OrderNo"",""StepNo"",""CarrierID"",""iResourceID"",""OrderPosition"",""PartNumber""]",7631,0,0,1,2019-04-16T12:26:24.870000Z,2019-04-16T13:15:59.697000Z,"{""median_ms"":492.0,""p10_ms"":4,""p90_ms"":2505}","[""mes10_3:plcManual"",""mes20_3:plcMagazineFront"",""mes30_3:plcDrillingCPS"",""mes60_3:plcCameraInspection"",""mes70_3:plcMagazineBack"",""mes80_3:plcPress""]","{""ResourceID"":0,""timeStamp"":0,""Busy"":0,""RFIDTagPresent"":0,""Done"":0,""StationEntryxBG5"":0,""ReadyAtStationxBG1"":0,""DoneWorkingxBG9"":7631,""StationExitxBG6"":0,""OperationNo"":0,""WorkPlanNo"":7631,""OrderNo"":0,""StepNo"":7631,""CarrierID"":0,""iResourceID"":0,""OrderPosition"":0,""PartNumber"":0}",{}
Exp20190416/dump_20190416_1515.sql,Exp20190416,tblPowerLog,"[""ResourceID"",""timeStamp"",""ActivePowerL1"",""Flow"",""Pressure""]",50629,0,0,1,2019-04-16T12:22:31.759000Z,2019-04-16T13:16:00.418000Z,"{""median_ms"":54,""p10_ms"":6,""p90_ms"":970}","[""ene1_2:CECC-LK"",""ene2_2:CECC-LK"",""ene3_2:CECC-LK"",""ene5_2:CECC-LK"",""ene6_2:CECC-LK"",""ene7_2:CECC-LK"",""ene8_2:CECC-LK""]","{""ResourceID"":0,""timeStamp"":0,""ActivePowerL1"":0,""Flow"":0,""Pressure"":0}","{""ActivePowerL1"":{""min"":10.928794860839844,""max"":89.47325897216797},""Flow"":{""min"":0.0,""max"":7.064518452},""Pressure"":{""min"":5.693261623,""max"":5.942443848}}"
