relative_path,experiment_id,is_canonical_snapshot,table,schema_names,columns,row_count,exact_duplicate_rows,different_rows_same_resource_timestamp,timestamp_order_regressions_raw_order,timestamp_start_epoch_ms,timestamp_end_epoch_ms
Exp20190514/dump_20190514_1302.sql,Exp20190514,False,tblMachineReport,"[""polimi""]","[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done""]",0,0,0,0,,
Exp20190514/dump_20190514_1302.sql,Exp20190514,False,tblOperationLog,"[""polimi""]","[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6"",""OperationNo"",""WorkPlanNo"",""OrderNo"",""StepNo"",""CarrierID"",""iResourceID"",""OrderPosition"",""PartNumber""]",2000,0,0,2,1557825929280.0,1557831581996.0
Exp20190514/dump_20190514_1302.sql,Exp20190514,False,tblPowerLog,"[""polimi""]","[""ResourceID"",""timeStamp"",""ActivePowerL1"",""Flow"",""Pressure""]",93969,0,0,7,1557825927270.0,1557831767461.0
Exp20190514/dump_20190514_1302.sql,Exp20190514,False,tblSensorsLog,"[""polimi""]","[""ResourceID"",""timeStamp"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6""]",0,0,0,0,,
Exp20190514/dump_20190514_1302_new.sql,Exp20190514,True,tblMachineReport,"[""polimi1302""]","[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done""]",0,0,0,0,,
Exp20190514/dump_20190514_1302_new.sql,Exp20190514,True,tblOperationLog,"[""polimi1302""]","[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6"",""OperationNo"",""WorkPlanNo"",""OrderNo"",""StepNo"",""CarrierID"",""iResourceID"",""OrderPosition"",""PartNumber""]",2000,0,0,2,1557825929280.0,1557831581996.0
Exp20190514/dump_20190514_1302_new.sql,Exp20190514,True,tblPowerLog,"[""polimi1302""]","[""ResourceID"",""timeStamp"",""ActivePowerL1"",""Flow"",""Pressure""]",93969,0,0,7,1557825927270.0,1557831767461.0
Exp20190514/dump_20190514_1302_new.sql,Exp20190514,True,tblSensorsLog,"[""polimi1302""]","[""ResourceID"",""timeStamp"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6""]",0,0,0,0,,
Exp20190617/dump_20190617_1130.sql,Exp20190617,True,tblMachineReport,"[""polimi""]","[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done""]",0,0,0,0,,
Exp20190617/dump_20190617_1130.sql,Exp20190617,True,tblOperationLog,"[""polimi""]","[""ResourceID"",""timeStamp"",""Busy"",""RFIDTagPresent"",""Done"",""StationEntryxBG5"",""ReadyAtStationxBG1"",""DoneWorkingxBG9"",""StationExitxBG6"",""OperationNo"",""WorkPlanNo"",""OrderNo"",""StepNo"",""CarrierID"",""iResourceID"",""OrderPosition"",""PartNumber""]",2650,0,0,0,1560758609236.0,1560763605054.0
