experiment_id,station_id,session_id,station_name,power_rows,matched_power_rows,unmatched_power_rows,matched_percent,state_age_mean_seconds,state_age_min_seconds,state_age_p01_seconds,state_age_p10_seconds,state_age_p25_seconds,state_age_p50_seconds,state_age_p75_seconds,state_age_p90_seconds,state_age_p95_seconds,state_age_p99_seconds,state_age_max_seconds
Exp20190617,20,Exp20190617-S20-002,MagazineFront,2783,2783,0,100.0,161.28737765001796,0.104,0.21045999999999998,7.1696,48.7375,140.743,257.946,341.74780000000004,403.5698000000001,458.9098399999998,472.763
Exp20190617,20,,MagazineFront,2727,0,2727,0.0,,,,,,,,,,,
Exp20190617,30,Exp20190617-S30-001,DrillingCPS,15542,15542,0,100.0,190.6372749967829,0.018,0.228,3.715700000000001,50.7825,150.835,286.26425,434.71799999999996,531.8836999999999,727.77963,802.821
Exp20190617,30,Exp20190617-S30-002,DrillingCPS,3639,3639,0,100.0,147.79799422918387,0.0,0.3944000000000001,8.0394,48.0255,125.996,231.735,316.11920000000015,370.97499999999997,443.5870199999999,458.997
Exp20190617,30,,DrillingCPS,2388,0,2388,0.0,,,,,,,,,,,
Exp20190617,50,Exp20190617-S50-001,RobotAssembly,20193,20193,0,100.0,351.18714579309665,0.062,0.7832000000000002,35.7104,107.787,245.769,540.174,856.0669999999996,969.8429999999987,1138.2236799999998,1205.278
Exp20190617,50,Exp20190617-S50-002,RobotAssembly,2930,2930,0,100.0,163.87687372013653,0.001,1.4733200000000002,30.9541,79.94475,161.469,244.29125,296.5509,323.50614999999976,362.68960000000004,371.967
Exp20190617,50,,RobotAssembly,5025,0,5025,0.0,,,,,,,,,,,
Exp20190617,60,Exp20190617-S60-001,CameraInspection,15397,15397,0,100.0,240.72721848412027,0.0,0.368,6.4166,43.372,151.937,353.914,682.8658,809.0365999999997,920.92512,972.941
Exp20190617,60,Exp20190617-S60-002,CameraInspection,3217,3217,0,100.0,138.04251165682314,0.085,0.171,9.6816,46.232,126.162,222.197,285.1406,312.1648,351.15236,366.189
Exp20190617,60,,CameraInspection,1897,0,1897,0.0,,,,,,,,,,,
Exp20190617,70,Exp20190617-S70-001,MagazineBack,14678,14678,0,100.0,238.1646680065404,0.011,0.209,2.8011000000000004,42.1315,152.21800000000002,353.282,672.017,795.70875,914.6266299999999,968.672
Exp20190617,70,Exp20190617-S70-002,MagazineBack,3149,3149,0,100.0,134.32660844712606,0.003,0.39812000000000003,6.027200000000001,43.55,120.935,218.933,280.9518,306.9678,347.49451999999997,362.967
Exp20190617,70,,MagazineBack,1846,0,1846,0.0,,,,,,,,,,,
Exp20190617,80,Exp20190617-S80-001,Press,16385,16385,0,100.0,214.32242935611836,0.028,0.241,2.8284000000000002,36.804,135.82,309.775,611.0342,731.0679999999999,860.2921600000001,920.349
Exp20190617,80,Exp20190617-S80-002,Press,3405,3405,0,100.0,135.32130220264318,0.001,0.047,6.0064,45.064,124.57,218.472,277.81719999999996,302.5128,346.5268,359.52
Exp20190617,80,,Press,1954,0,1954,0.0,,,,,,,,,,,
